Seanfhocail,Translation,Context,JPEG
Is fearr Gaeilge bhriste ná Béarla cliste,Everyone is nice until a cow goes into their garden,,
Tús maith leath na hoibre,A good start is half the battle,,
Athníonn ciaróg ciaróg eile,A beetle recognises another beetle,Birds of a feather flock together/ It takes one to know one,
Bíonn gach duine go lách go dtéann bó ina gharraí,Everyone is nice until a cow goes into their garden,,
Fillleann an feall ar an bhfeallaire,Evil comes to the evil doer,,
Is binn béal ina thost,A closed mouth is sweet,,
Ni thagann ciall roimh aois,Sense doesn't come before age,,
Is maith an t-anlann an t-ocras,Hunger is the best sauce,,
Is geall le sos malairt oibre,A change is as good as a rest,,
"Nuair a bhíonn an cat amuigh, bíonn na lucha ag rince",When the cats away the mice will play,,
Briseann an dúchas trí shúile an chait,Traits come through the eyes of a cat,,
"Nuair a bhíonn an bolg lán, is maith leis na cnámha síneadh","When the belly is full, the bones like to stretch",,
Mol an óige agus tiocfaidh sí,Praise the youth and it will come,,
Ní neart go cur le chéile,There is strength in unity,,
Ar scáth a chéile a mhaireann na daoine,We live in each others shadows,,
Ní hé lá na gaoithe lá na scolb,The day of the wind is not the day to thatch the roof,,
Bíonn an fhírinne searbh,The truth is bitter,,
Ní mar a síltear a bítear,Things aren't always what they seem,,
Is glas iad na cnoic i bhfad uainn,The faraway hills are greener,,
Cuir síoda ar ghabhar agus is gabhar i gcónaí é,Put jewels on a goat and it will still be a goat,,
An áit a bhfuil do chroí is ann a thabharfas do chosa thú,Your feet will bring you to where your heart is,,
An té a thabharfas scéal chugat tabharfaidh sé dhá scéal uait,Whoever will bring a story to you will take two stories from you,,
Ceannaigh drochrud agus bí gan aon rud,Buy something bad and be left with nothing,,
An rud nach leigheasann im ná uisce beatha níl leigheas air,"What whiskey or butter can't cure, can't be cured",,
Is túisce deoch ná scéal,A drink comes before a story,,
Is olc an chearc nach scríobann di féin,It is a bad hen that does not scratch itself,,
Is lia gach othar i ndiaidh a leighis,Every patient is a surgeon when he's cured,,
Obair ó chrích obair bean tí,Work that never ends is the work of a housewife,,
Is fearr lán doirn de cheird ná lán mála d’ór,It is better to have a lot of skills than a bag full of gold,,
Mac an tsaoir ábhar an tuata,A craftman's son may grow up in ignorance of his fathers skills,,
"Is buaine port ná glór na n-éan, Is buaine focal ná toice an tsaoil","A tune outlasts the song of the birds, a word outlasts the wealth of the world",,
Bíonn an grá le feiceáil sna gníomhartha beaga,Love is seen in the small actions,,
Is maith an scáthán súil charad,A friend’s eye is a good mirror,,
Ag caitheamh an tsaoil is an saol ár gcaitheamh,Consuming time whilst time consumes us,,
Ní sia gob an ghé na gob an ghandail,The goose's beak is no longer than the gander's,Men gossip just as much as women,
Is maith an scéalaí an aimsir,Time is a good storyteller,Time will tell -- storys grow with time -- aimsir means weather- unpredictable,
Ní fhanann trá le héinne,The tide waits for no one,You can't avoid destiny,
Sceitheann fíon fírinne ,Wine leaks the truth,,
"An rud a théann i bhfad, téann sé i bhfuaire",What takes too long grows cold,Procrastination is a killer,
Níl aon leigheas ar an ngrá ach pósadh,The only cure for love is marriage,,
"Drochubh, drochéan","Bad egg, bad bird",Bad kid means bad parenting,
Níl leigheas ar an gcathú ach é a mharú le foighne,There is no cure for regret but to kill it with patience,cathú can be translated to tempatation,
Níl aon tinteán mar do thinteán féin,There is no fireplace like your own fireplace,There is no place like home,
Ní thuigeann an sách an seang,The well fed doesn't understand the lean,,
Is ceirín do gach créacht an fhoighne,Patience is a poultice for all wounds,Time heals all wounds,
Is cuma le fear na mbróg cá leagann sé a chos,The man with the boots doesn't care where he places his foot,,
 Ní troimide an loch an lacha,The lake is not heavier for having the duck on it,Don't worry about the little things in life,
Ná caill grá toisc go bhfuil tú buartha faoi amárach,Don't lose love because you're worried about tomorrow,,
Ní mhealltar an sionnach faoi dhó,You wont fool a fox twice,,
Giorraíonn beirt bóthar,The road is shorter with two,A partner shortens the journey,
Is gairid ár gcairt ar an saol seo,Our lease on life is short,,
Ní haon ualach an chiall,Sense is not a heavy burden,,
Tosach sláinte codladh,Health starts with sleep,sleep is the first sign of recovery,
Ní heolas go haontíos,You must live with a person to know them,,
Céard a dhéanfadh mac an chait ach luch a mharú?,What will a cats son do but kill a mouse?,Like father like son,
Ní dhéanfach an saol capall rás d'asal,Life will not make a racehorse of an ass,,
Bíonn súil le muir ach ní bhíonn súil le tír,There's hope from the sea but none from the grave,,
Ní fiú bheith ag seanchas agus an anachain déanta,There is no use in lore when the damage is done,,
Is minic a bhí fear maith i seanbhríste,It is often a good man in old trousers,,
Dhá dtrian sainte ag lucht saibhris,The rich have two thirds of the worlds greed,,
Marbh le tae agus marbh gan é,Dead with tea and dead without it,"can't live with it, can't live without it. damned if you do damned if you don't",
Cleachtadh a dhéanann máistreacht,Practice makes mastery,,
Ní féidir leis an ngobadán an dá thrá a fhreastal,The sandpiper cannot tend two beaches,You can't be in two places at once. You can't please everybody,
Imíonn an tuirse ach fanann an tairbhe.,The tiredness leaves but the benefits remain,Hard work will pay off,
Is é ceol teanga an anama,Music is the language of the soul,,
Folaíonn grá gráin,Love hides ugliness,Love is blind - gráin means hate.,
Síleann do chara agus do namhaid nach bhfaighidh tú bás choíce,Both your friend and your enemy think you will never die,,
I dtosach na haicíde is fusa í a leigheas,The beginning of the disease is easiest to cure,,
Is deacair do malá folamh seasamh suas direach,It’s hard for an empty sack to stand upright,,
Tógfaidh dath dubh ach ní thógfaidh dubh dath,"Colour can take black, but black can not take colour","A cautionary tale, some actions cannot be reversed",
Ná caitheadh amach an tuisge salach go mbeidh an t-uisge glan istigh,Don’t throw out the dirty water until the clean water is in,,
Is geal leis an bhfiach dubh a géarrach fhéin,Every raven thinks its own nestling fair,,
Nuair atá an t-ól istigh atá an chiall amuigh,When the drink’s in the wit’s out,,
Nuair a stadann an ceol stadann an rince,When the music stops the dancing stops,,
Bíonn an mhil milis ach bíonn an bheach cealgach,Honey is sweet but the bee stings,cealgach - decietful ,
Bíonn dhá insint ar scéal agus dhá leagan déag ar amhrán,There are two sides to every story and twelve versions of a song,,
"An té a bhíonn thuas, óltar deoch air. An té a bhíonn thíos, buailtear cos air","When they're up, they drink to them. When they're down, they're kicked",,
Oíche aerach is maidin bhrónach,A lively night and a sad morning,Hangovers,
Déan mórán agus can beagán,Do a lot and say little,,
Ar mhaithe leis féin a bhíonn an cat ag crónán,The cat only purrs for its own sake,,
Is minic a bhíonn ciúin ciontach,Silence is often a sign of guilt,,
Is teanga an ceol a thuigeann cách,Music is a language everyone understands,,
Má chailleann tú uair ar maidin beidh tú á tóraíocht i rith an lae,If you miss an hour in the morning you'll be chasing it all day,,
Tarraingíonn scéal scéal eile,One story leads to another,,
Ní dhíolann dearmad fiacha,Forgetting doesn't settle a debt,,
Beatha teanga í a labhairt,The life of a language is to speak it,,
Tógann mionclocha caisleáin,Small stones build castles,,
Is beag le rá an chuileog nó go dtéann sí sa tsúil,A fly is a small thing until it gets in ones eye,,
Bíonn earraí maithe i mbeairtíní beaga,Big things come in small packages,,
Is fearr glas ná amhras,A lock is better than doubt,Better to be safe than sorry,
Doras feasa fiafraí,Asking is the door to knowledge,,
"Tá grá cosúil le lasair, caithfear aire a thabhairt dó le go mairfidh sé","Love is like a flame, it must be tended in order to survive",,
Ní beag a bheith go dona gan a bheith go dona faoi,It's bad enough being miserable without being miserable about it,,
Ní hé an té is fearr a thuileann is mó a fhaigheann,The most deserving isn't always the most rewarded,,
Is dána gach fear go tulaigh,Every man is brave until he reaches the battle,,
Is minic a bhris béal duine a shrón,A man's mouth often broke his nose,,
Ní dheachaigh fial ariamh go hIfreann.,A generous person never went to hell,,
Tar éis a thuigtear gach beart,It's easy to be wise after the event,Hindsight is a killer,
Roghnaigh do chuideachta sul a dtéann tú ag ól,Choose your company before you go drinking,,
Chuirfeadh sé cosa faoi chearca duit,He would put legs under a chicken,A chatterbox,
Ní bhíonn a fhios ag duine cá luíonn an bhróg ar an duine eile,You don't know what shoe fits another person,You don''t know what other people are going through,
Tá eirbeall an chait sa ghríosach,The cats tail is in hot ashes,Bad weather is coming,
Is maith an mustard an sliabh,The mountain is good mustard,,
Is fearr lúbadh ná briseadh,It is better to bend than to break,Compromise is key,
"Má bhíonn tú ar lorg cara gan locht, beidh tú gan chara go deo","If you're looking for a friend without fault, you'll be friendless forever",,
Fág an drochscéal san áit a bhfuair tú é,Leave the bad story where you found it,,
"Trí shaghas fear nach féidir leo mná a thuiscint: fir óga, fir aosta agus fir mheánaosta","Three types of men who don't understand women: the old, the young and the middle-aged",,
íosann cat ciúin biadh,The quiet cat eats food,Don't judge a book by its cover/ Quietness isn't an indication of intention/capability,
"An té ná tógfaidh cómhairle, gheóbhaidh sé cómhrac ",He who will not take advice will get a combat,,
Teas gréine is gar do dhubhadh,Sunshine follows darkness,,
Bíonn cluasa ar na claíocha,Fences have ears,Walls have ears- be careful of eavesdropping,
An rud is annamh is iontach,What is rare is wonderful,,
Fásann níos mó i ngort ná mar a chuirtear ann,More grows in a field than is planted there,A testament to the capability and individuality of children,
Níor bhris focal maith fiacal riamh,A good word never broke a tooth,Kindness costs you nothing,
Is maol gualainn gan bhráthair,It's a bald shoulder without a brother,Friendship,
Is olc an ghaoth ná séideann maith do dhuine éigin,It's a bad wind that doesn't blow good for someone,Someone must reap the benefits of a dire situation,
Ní bhíonn saoi gan locht,There isn't a wise man without fault,"Nobodys perfect, and if you think you are, you're dense",
Is fearr rith maith ná droch-sheasamh,It's better to have a good run than a bad stance,,
Is mór orlach de shrón duine,An inch is big on a nose,Truth is relative,
Nuair a chacann gé cacann siad go léir,"When one goose shits, they all shit",People are sheep,
Ni sheasann sac folamh,An empty sack won't stand,hard to work on an empty stomach/ empty promises are useless,
Tá cluasa fada ar mhuca beaga,Little pigs have big ears,Children hear more than you think,
Ni féidir fear gan ceann a chrochadh,You can't hang a headless man,Know your limits,
Is trom an t-ualach é an leisce,Laziness is a heavy burden,You're cutting yourself off from so many opportunities by being lazy,
Go n-éirí an bóthar leat,May the roads rise with you,Good luck on your journey,
La millte na móna lá fómhar an chabáiste,The rain that destroys the turf is good for the cabbage,Silver lining to every cloud,
Fál maith a dhéanas comharsana maithe,A good fence makes for good neighbours,Healthy boundaries make healthy relationships,
Coimhéad fearg fhear na foighde,Beware the anger of a patient man,,
"An té a chaillfeas a chlú, caillfidh sé a náire","He who loses his fame, loses his shame",Honesty is freeing,
Is maith é an bád a dhéanann amach an caladh a d'fhág sé,It's a good boat that remembers the harbour it left from,Remember your roots,
An truas is faide tosnaíonn sé le coiscéim bheag amháin,The longest journey begins with a single step,,
"An té a bhíonn siúlach, bíonn scéalach",He who travels has stories to tell,,
Is minic a bhíonn an t-úll go holc ina chroí,An apple is often rotten at heart,Beauty can be deceptive,
Maireann an crann ach ní mhaireann an lámh a chuir é,The tree lasts but the hand that planted it does not,,
"Dá mbeifeá chomh láidir le crann darach, gheobhaidh an bás an ceann is fearr ort","Even if you're as strong as an oak tree, death will still get the best of you",,
Bailíonn brobh beart,A blade gathers in a bundle,,
Is deas an rud an beagán ach é a dhéanamh go maith,A little is best if done right,,
"Is neamhbhuan cogadh na gcarad; má bhíonn sé crua, ní bhíonn sé fada","Th war of friends is temporary; even if its bitter, it's not long",,
Is maith an cúnamh an lá breá,A fine day is help to everyone,,
"Scuabann scuab úr go glan, ach tá fios ag an sean scuab ar an ciornéil","A fresh brush sweeps clean, but an old brush knows the corners",You can't beat experience,
Ná glac pioc comhairle gan comhairle ban,Don't take advice without a woman's guidance,,
